Date,Start,Visitor/Neutral,Home/Neutral
Mon Dec 6 2021,10:00p,Orlando Magic,Golden State Warriors
Mon Dec 6 2021,10:00p,Los Angeles Clippers,Portland Trail Blazers
Tue Dec 7 2021,7:30p,Brooklyn Nets,Dallas Mavericks
Tue Dec 7 2021,8:30p,New York Knicks,San Antonio Spurs
Tue Dec 7 2021,10:00p,Boston Celtics,Los Angeles Lakers
Wed Dec 8 2021,7:00p,Philadelphia 76ers,Charlotte Hornets
Wed Dec 8 2021,7:00p,Chicago Bulls,Cleveland Cavaliers
Wed Dec 8 2021,7:00p,Washington Wizards,Detroit Pistons
Wed Dec 8 2021,7:00p,New York Knicks,Indiana Pacers
Wed Dec 8 2021,7:30p,Milwaukee Bucks,Miami Heat
Wed Dec 8 2021,7:30p,Oklahoma City Thunder,Toronto Raptors
Wed Dec 8 2021,8:00p,Brooklyn Nets,Houston Rockets
Wed Dec 8 2021,8:00p,Dallas Mavericks,Memphis Grizzlies
Wed Dec 8 2021,8:00p,Utah Jazz,Minnesota Timberwolves
Wed Dec 8 2021,8:00p,Denver Nuggets,New Orleans Pelicans
Wed Dec 8 2021,10:00p,Portland Trail Blazers,Golden State Warriors
Wed Dec 8 2021,10:00p,Orlando Magic,Sacramento Kings
Wed Dec 8 2021,10:30p,Boston Celtics,Los Angeles Clippers
Thu Dec 9 2021,7:00p,Utah Jazz,Philadelphia 76ers
Thu Dec 9 2021,8:00p,Los Angeles Lakers,Memphis Grizzlies
Thu Dec 9 2021,8:30p,Denver Nuggets,San Antonio Spurs
Fri Dec 10 2021,7:00p,Sacramento Kings,Charlotte Hornets
Fri Dec 10 2021,7:00p,Dallas Mavericks,Indiana Pacers
Fri Dec 10 2021,7:30p,Brooklyn Nets,Atlanta Hawks
Fri Dec 10 2021,7:30p,New York Knicks,Toronto Raptors
Fri Dec 10 2021,8:00p,Milwaukee Bucks,Houston Rockets
Fri Dec 10 2021,8:00p,Cleveland Cavaliers,Minnesota Timberwolves
Fri Dec 10 2021,8:00p,Detroit Pistons,New Orleans Pelicans
Fri Dec 10 2021,8:00p,Los Angeles Lakers,Oklahoma City Thunder
Fri Dec 10 2021,10:00p,Boston Celtics,Phoenix Suns
Sat Dec 11 2021,3:30p,Orlando Magic,Los Angeles Clippers
Sat Dec 11 2021,7:00p,Utah Jazz,Washington Wizards
Sat Dec 11 2021,8:00p,Sacramento Kings,Cleveland Cavaliers
Sat Dec 11 2021,8:00p,Houston Rockets,Memphis Grizzlies
Sat Dec 11 2021,8:00p,Chicago Bulls,Miami Heat
Sat Dec 11 2021,8:30p,Golden State Warriors,Philadelphia 76ers
Sat Dec 11 2021,8:30p,Denver Nuggets,San Antonio Spurs
Sun Dec 12 2021,12:00p,Milwaukee Bucks,New York Knicks
Sun Dec 12 2021,6:00p,Brooklyn Nets,Detroit Pistons
Sun Dec 12 2021,7:00p,Dallas Mavericks,Oklahoma City Thunder
Sun Dec 12 2021,7:00p,New Orleans Pelicans,San Antonio Spurs
Sun Dec 12 2021,9:00p,Minnesota Timberwolves,Portland Trail Blazers
Sun Dec 12 2021,9:30p,Orlando Magic,Los Angeles Lakers
Mon Dec 13 2021,7:00p,Miami Heat,Cleveland Cavaliers
Mon Dec 13 2021,7:00p,Golden State Warriors,Indiana Pacers
Mon Dec 13 2021,7:00p,Sacramento Kings,Toronto Raptors
Mon Dec 13 2021,7:30p,Houston Rockets,Atlanta Hawks
Mon Dec 13 2021,7:30p,Milwaukee Bucks,Boston Celtics
Mon Dec 13 2021,8:00p,Philadelphia 76ers,Memphis Grizzlies
Mon Dec 13 2021,8:30p,Charlotte Hornets,Dallas Mavericks
Mon Dec 13 2021,9:00p,Washington Wizards,Denver Nuggets
Mon Dec 13 2021,10:30p,Phoenix Suns,Los Angeles Clippers
Tue Dec 14 2021,7:30p,Toronto Raptors,Brooklyn Nets
Tue Dec 14 2021,7:30p,Golden State Warriors,New York Knicks
Tue Dec 14 2021,8:00p,Detroit Pistons,Chicago Bulls
Tue Dec 14 2021,10:00p,Phoenix Suns,Portland Trail Blazers
Wed Dec 15 2021,7:00p,Houston Rockets,Cleveland Cavaliers
Wed Dec 15 2021,7:00p,Atlanta Hawks,Orlando Magic
Wed Dec 15 2021,7:00p,Miami Heat,Philadelphia 76ers
Wed Dec 15 2021,7:30p,Los Angeles Lakers,Dallas Mavericks
Wed Dec 15 2021,8:00p,Indiana Pacers,Milwaukee Bucks
Wed Dec 15 2021,8:00p,New Orleans Pelicans,Oklahoma City Thunder
Wed Dec 15 2021,8:30p,Charlotte Hornets,San Antonio Spurs
Wed Dec 15 2021,9:00p,Minnesota Timberwolves,Denver Nuggets
Wed Dec 15 2021,10:00p,Memphis Grizzlies,Portland Trail Blazers
