gmDate,gmTime,homeAbbr,awayAbbr,home1x2FirstOptionRate,away1x2FirstOptionRate,home1x2LastOptionRate,away1x2LastOptionRate,home1x2FirstWinRate,away1x2FirstWinRate,home1x2LastWinRate,away1x2LastWinRate,home1x2FirstRTP,away1x2LastRTP,home1x2KellyIndex,away1x2KellyIndex,OverFirstOptionRate,UnderFirstOptionRate,OverUnderFirstSpecialBetValue,OverLastOptionRate,UnderLastOptionRate,OverUnderLastSpecialBetValue,SourceUrl
2017/10/18,08:00,Cleveland Cavaliers,Boston Celtics,1.57,2.55,1.42,2.90,61.89,38.11,67.13,32.87,97.17,95.32,0.88,1.10,0.90,0.90,213,0.90,0.83,204.5,http://nba.win007.com/1x2/oddslist/289788.htm
2017/10/18,10:30,Golden State Warriors,Houston Rockets,1.20,4.75,,,79.83,20.17,,,95.80,,0.95,1.00,0.90,0.90,232,0.83,0.90,245.5,http://nba.win007.com/1x2/oddslist/289789.htm
2017/10/19,07:00,Washington Wizards,Philadelphia 76ers,1.32,3.50,1.34,3.25,72.61,27.39,70.81,29.19,95.85,94.89,0.95,0.94,0.90,0.90,215.5,0.80,0.95,236.5,http://nba.win007.com/1x2/oddslist/289790.htm
2017/10/19,07:00,Detroit Pistons,Charlotte Hornets,1.64,2.35,1.62,2.30,58.90,41.10,58.67,41.33,96.60,95.05,0.94,0.97,0.90,0.90,204,0.83,0.90,199.5,http://nba.win007.com/1x2/oddslist/289856.htm
2017/10/19,07:00,Indiana Pacers,Brooklyn Nets,1.60,2.45,1.58,2.40,60.49,39.51,60.30,39.70,96.78,95.27,0.92,1.01,0.90,0.90,214,0.90,0.83,269.5,http://nba.win007.com/1x2/oddslist/289857.htm
2017/10/19,07:00,Orlando Magic,Miami Heat,2.30,1.66,2.45,1.57,41.92,58.08,39.05,60.95,96.42,95.67,0.98,0.94,0.90,0.90,205.5,1.00,0.76,220.5,http://nba.win007.com/1x2/oddslist/289858.htm
2017/10/19,07:30,Boston Celtics,Milwaukee Bucks,1.44,2.85,1.76,2.00,66.43,33.57,53.19,46.81,95.66,93.61,0.97,0.90,0.90,0.90,206.5,0.90,0.83,208.5,http://nba.win007.com/1x2/oddslist/289859.htm
2017/10/19,08:00,Memphis Grizzlies,New Orleans Pelicans,1.64,2.35,1.71,2.10,58.90,41.10,55.12,44.88,96.60,94.26,0.94,0.94,0.90,0.90,205,0.86,0.86,199.5,http://nba.win007.com/1x2/oddslist/289860.htm
2017/10/19,08:30,Dallas Mavericks,Atlanta Hawks,1.40,3.10,1.40,3.00,68.89,31.11,68.18,31.82,96.45,95.45,0.92,1.02,0.90,0.90,197.5,0.86,0.86,223.5,http://nba.win007.com/1x2/oddslist/289861.htm
2017/10/19,09:00,Utah Jazz,Denver Nuggets,1.76,2.10,1.62,2.30,54.40,45.60,58.67,41.33,95.74,95.05,0.92,0.99,0.90,0.90,206,0.83,0.90,211.5,http://nba.win007.com/1x2/oddslist/289862.htm
2017/10/19,09:30,San Antonio Spurs,Minnesota Timberwolves,1.83,2.00,1.83,1.90,52.22,47.78,50.94,49.06,95.56,93.22,0.95,0.91,0.90,0.90,205.5,0.76,1.00,207.5,http://nba.win007.com/1x2/oddslist/289791.htm
2017/10/19,10:00,Sacramento Kings,Houston Rockets,4.00,1.26,3.50,1.30,23.95,76.05,27.08,72.92,95.80,94.78,0.98,0.94,0.90,0.90,218.5,0.80,0.95,196.5,http://nba.win007.com/1x2/oddslist/289863.htm
2017/10/19,10:00,Phoenix Suns,Portland Trail Blazers,2.00,1.83,2.10,1.71,47.78,52.22,44.88,55.12,95.56,94.25,0.94,0.94,0.90,0.90,220,0.76,1.00,206.5,http://nba.win007.com/1x2/oddslist/289864.htm
2017/10/20,07:30,Toronto Raptors,Chicago Bulls,1.07,9.00,1.06,10.25,89.37,10.63,90.63,9.37,95.63,96.07,0.93,1.23,0.90,0.90,206.5,0.86,0.86,205.5,http://nba.win007.com/1x2/oddslist/289865.htm
2017/10/20,08:00,Oklahoma City Thunder,New York Knicks,1.10,7.50,1.09,7.50,87.21,12.79,87.31,12.69,95.93,95.17,0.94,1.05,0.90,0.90,215,1.00,0.76,195.5,http://nba.win007.com/1x2/oddslist/289792.htm
2017/10/20,10:30,Los Angeles Lakers,Los Angeles Clippers,2.70,1.50,3.05,1.40,35.71,64.29,31.46,68.54,96.42,95.95,0.98,0.95,0.90,0.90,219,0.86,0.86,200.5,http://nba.win007.com/1x2/oddslist/289793.htm
2017/10/21,07:00,Milwaukee Bucks,Cleveland Cavaliers,2.25,1.68,1.83,1.90,42.75,57.25,50.94,49.06,96.19,93.22,0.88,0.99,0.90,0.90,210,0.83,0.90,213.5,http://nba.win007.com/1x2/oddslist/289794.htm
2017/10/21,07:00,Charlotte Hornets,Atlanta Hawks,1.41,3.00,1.50,2.65,68.03,31.97,63.86,36.14,95.92,95.79,0.95,0.98,0.90,0.90,202.5,0.86,0.86,206.5,http://nba.win007.com/1x2/oddslist/289866.htm
2017/10/21,07:00,Washington Wizards,Detroit Pistons,1.40,3.10,1.36,3.25,68.89,31.11,70.50,29.50,96.45,95.88,0.94,1.01,0.90,0.90,210.5,0.83,0.90,228.5,http://nba.win007.com/1x2/oddslist/289867.htm
2017/10/21,07:00,Philadelphia 76ers,Boston Celtics,1.83,2.00,1.66,2.20,52.22,47.78,56.99,43.01,95.56,94.60,0.95,0.95,0.90,0.90,217.5,0.90,0.83,200.5,http://nba.win007.com/1x2/oddslist/289868.htm
2017/10/21,07:00,Indiana Pacers,Portland Trail Blazers,2.45,1.60,2.95,1.41,39.51,60.49,32.34,67.66,96.80,95.40,1.03,0.92,0.90,0.90,226,0.76,1.00,217.5,http://nba.win007.com/1x2/oddslist/289869.htm
2017/10/21,07:30,Brooklyn Nets,Orlando Magic,1.76,2.10,,,54.40,45.60,,,95.74,,0.95,0.97,0.90,0.90,221,0.80,0.95,243.5,http://nba.win007.com/1x2/oddslist/289870.htm
2017/10/21,08:00,Minnesota Timberwolves,Utah Jazz,1.54,2.65,1.45,2.75,63.25,36.75,65.48,34.52,97.40,94.95,0.91,1.02,0.90,0.90,199,0.83,0.90,196.5,http://nba.win007.com/1x2/oddslist/289871.htm
2017/10/21,08:30,Dallas Mavericks,Sacramento Kings,1.47,2.75,1.38,3.10,65.17,34.83,69.20,30.80,95.80,95.50,0.91,1.05,0.90,0.90,202.5,0.86,0.86,176.5,http://nba.win007.com/1x2/oddslist/289872.htm
2017/10/21,09:30,New Orleans Pelicans,Golden State Warriors,4.25,1.23,4.75,1.20,22.45,77.55,20.17,79.83,95.41,95.81,1.05,0.94,0.90,0.90,222.5,0.86,0.86,242.5,http://nba.win007.com/1x2/oddslist/289795.htm
2017/10/21,10:00,Phoenix Suns,Los Angeles Lakers,1.66,2.30,1.60,2.35,58.08,41.92,59.49,40.51,96.41,95.18,0.94,0.96,0.90,0.90,220.5,0.90,0.83,260.5,http://nba.win007.com/1x2/oddslist/289873.htm
2017/10/22,07:30,Toronto Raptors,Philadelphia 76ers,1.22,4.50,1.18,4.90,78.67,21.33,80.59,19.41,95.98,95.10,0.92,1.08,0.90,0.90,215,0.86,0.86,229.5,http://nba.win007.com/1x2/oddslist/289874.htm
2017/10/22,08:00,Miami Heat,Indiana Pacers,1.20,4.75,1.18,4.90,79.83,20.17,80.59,19.41,95.80,95.10,0.93,1.03,0.90,0.90,212,0.90,0.83,222.5,http://nba.win007.com/1x2/oddslist/289875.htm
2017/10/22,08:00,Chicago Bulls,San Antonio Spurs,5.00,1.19,5.75,1.14,19.22,80.78,16.55,83.45,96.10,95.16,1.04,0.93,0.90,0.90,203,1.00,0.76,166.5,http://nba.win007.com/1x2/oddslist/289876.htm
2017/10/22,08:00,Cleveland Cavaliers,Orlando Magic,1.11,6.75,,,85.88,14.12,,,95.33,,0.95,0.95,0.90,0.90,214,0.86,0.86,206.5,http://nba.win007.com/1x2/oddslist/289877.htm
2017/10/22,08:00,New York Knicks,Detroit Pistons,2.05,1.80,2.00,1.76,46.75,53.25,46.81,53.19,95.84,93.62,0.94,0.93,0.90,0.90,206.5,0.86,0.86,215.5,http://nba.win007.com/1x2/oddslist/289878.htm
2017/10/22,08:00,Houston Rockets,Dallas Mavericks,1.10,7.50,1.12,6.25,87.21,12.79,84.80,15.20,95.93,94.98,0.96,0.88,0.90,0.90,214.5,1.00,0.76,204.5,http://nba.win007.com/1x2/oddslist/289879.htm
2017/10/22,08:00,Memphis Grizzlies,Golden State Warriors,3.70,1.29,4.60,1.20,25.85,74.15,20.69,79.31,95.65,95.17,1.10,0.91,0.90,0.90,213,0.80,0.95,203.5,http://nba.win007.com/1x2/oddslist/289880.htm
2017/10/22,08:30,Milwaukee Bucks,Portland Trail Blazers,1.62,2.40,1.54,2.55,59.70,40.30,62.35,37.65,96.71,96.02,0.91,1.05,0.90,0.90,214.5,0.83,0.90,225.5,http://nba.win007.com/1x2/oddslist/289881.htm
2017/10/22,09:00,Denver Nuggets,Sacramento Kings,1.16,5.50,1.11,6.75,82.58,17.42,85.88,14.12,95.79,95.33,0.94,1.01,0.90,0.90,216,1.00,0.76,169.5,http://nba.win007.com/1x2/oddslist/289882.htm
2017/10/22,09:00,Utah Jazz,Oklahoma City Thunder,2.67,1.52,2.60,1.52,36.28,63.72,36.89,63.11,96.87,95.91,0.96,0.96,0.90,0.90,201,0.83,0.90,183.5,http://nba.win007.com/1x2/oddslist/289883.htm
2017/10/22,10:30,Los Angeles Clippers,Phoenix Suns,1.11,6.75,1.07,9.25,85.88,14.12,89.63,10.37,95.33,95.90,0.95,1.02,0.90,0.90,216.5,0.86,0.86,211.5,http://nba.win007.com/1x2/oddslist/289884.htm
2017/10/23,03:30,Brooklyn Nets,Atlanta Hawks,1.71,2.20,1.76,2.00,56.27,43.73,53.19,46.81,96.22,93.61,0.95,0.92,0.90,0.90,220.5,0.80,0.95,226.5,http://nba.win007.com/1x2/oddslist/289885.htm
