gmDate,gmTime,homeAbbr,awayAbbr,home1x2FirstOptionRate,away1x2FirstOptionRate,home1x2LastOptionRate,away1x2LastOptionRate,home1x2FirstWinRate,away1x2FirstWinRate,home1x2LastWinRate,away1x2LastWinRate,home1x2FirstRTP,away1x2LastRTP,home1x2KellyIndex,away1x2KellyIndex,OverFirstOptionRate,UnderFirstOptionRate,OverUnderFirstSpecialBetValue,OverLastOptionRate,UnderLastOptionRate,OverUnderLastSpecialBetValue,SourceUrl
2018/10/17,08:00,Boston Celtics,Philadelphia 76ers,1.47,2.75,,,65.17,34.83,,,95.80,,0.96,0.96,0.90,0.90,208.5,0.71,1.00,193.5,http://nba.win007.com/1x2/oddslist/325572.htm
2018/10/17,10:30,Golden State Warriors,Oklahoma City Thunder,1.12,6.50,1.08,8.50,85.30,14.70,88.73,11.27,95.54,95.83,0.95,1.02,0.90,0.90,223.5,1.00,0.71,208.5,http://nba.win007.com/1x2/oddslist/325573.htm
2018/10/18,07:00,Indiana Pacers,Memphis Grizzlies,1.38,3.15,1.32,3.50,69.54,30.46,72.61,27.39,95.97,95.85,0.95,0.98,0.90,0.90,208,0.83,0.83,180.5,http://nba.win007.com/1x2/oddslist/325574.htm
2018/10/18,07:00,Orlando Magic,Miami Heat,2.20,1.71,2.10,1.76,43.73,56.27,45.60,54.40,96.21,95.76,0.94,0.97,0.90,0.90,210.5,0.71,1.00,202.5,http://nba.win007.com/1x2/oddslist/325575.htm
2018/10/18,07:00,Detroit Pistons,Brooklyn Nets,1.47,2.75,1.40,3.10,65.17,34.83,68.89,31.11,95.80,96.45,0.95,0.99,0.90,0.90,212,0.76,0.90,205.5,http://nba.win007.com/1x2/oddslist/325576.htm
2018/10/18,07:00,Charlotte Hornets,Milwaukee Bucks,2.10,1.76,2.40,1.62,45.60,54.40,40.30,59.70,95.76,96.72,0.98,0.96,0.90,0.90,217,0.83,0.83,229.5,http://nba.win007.com/1x2/oddslist/325577.htm
2018/10/18,07:30,New York Knicks,Atlanta Hawks,1.64,2.35,1.60,2.45,58.90,41.10,60.49,39.51,96.60,96.78,0.94,1.00,0.90,0.90,213.5,0.80,0.86,238.5,http://nba.win007.com/1x2/oddslist/325578.htm
2018/10/18,07:30,Toronto Raptors,Cleveland Cavaliers,1.11,7.00,1.10,6.50,86.31,13.69,85.53,14.47,95.80,94.08,0.97,0.78,0.90,0.90,214,1.00,0.71,220.5,http://nba.win007.com/1x2/oddslist/325579.htm
2018/10/18,08:00,Houston Rockets,New Orleans Pelicans,1.31,3.60,1.23,3.85,73.32,26.68,75.79,24.21,96.05,93.22,0.92,0.96,0.90,0.90,228.5,0.71,1.00,238.5,http://nba.win007.com/1x2/oddslist/325580.htm
2018/10/18,08:30,San Antonio Spurs,Minnesota Timberwolves,1.66,2.30,1.66,2.10,58.08,41.92,55.85,44.15,96.41,92.71,0.93,0.92,0.90,0.90,210.5,0.90,0.76,215.5,http://nba.win007.com/1x2/oddslist/325581.htm
