gmDate,gmTime,homeAbbr,awayAbbr,home1x2FirstOptionRate,away1x2FirstOptionRate,home1x2LastOptionRate,away1x2LastOptionRate,home1x2FirstWinRate,away1x2FirstWinRate,home1x2LastWinRate,away1x2LastWinRate,home1x2FirstRTP,away1x2LastRTP,home1x2KellyIndex,away1x2KellyIndex,OverFirstOptionRate,UnderFirstOptionRate,OverUnderFirstSpecialBetValue,OverLastOptionRate,UnderLastOptionRate,OverUnderLastSpecialBetValue,SourceUrl
2015/10/31,07:30,Boston Celtics,Toronto Raptors,1.71,2.20,1.76,2.10,56.27,43.73,54.40,45.60,96.22,95.74,0.95,0.97,0.90,0.90,204,0.90,0.90,200,http://nba.win007.com/1x2/oddslist/232174.htm
2015/10/31,07:30,Detroit Pistons,Chicago Bulls,2.25,1.68,,,42.75,57.25,,,96.19,,0.97,0.96,0.90,0.90,199.5,0.90,0.90,203.5,http://nba.win007.com/1x2/oddslist/232175.htm
2015/10/31,08:00,Atlanta Hawks,Charlotte Hornets,1.43,2.90,1.57,2.55,66.97,33.03,61.89,38.11,95.77,97.17,0.99,0.94,0.90,0.90,196.5,0.90,0.90,194.5,http://nba.win007.com/1x2/oddslist/232176.htm
2015/10/31,08:00,Milwaukee Bucks,Washington Wizards,2.05,1.80,2.10,1.76,46.75,53.25,45.60,54.40,95.84,95.76,0.97,0.95,0.90,0.90,196.5,0.90,0.90,199.5,http://nba.win007.com/1x2/oddslist/232177.htm
2015/10/31,08:30,San Antonio Spurs,Brooklyn Nets,1.04,12.50,1.05,12.00,92.32,7.68,91.95,8.05,96.01,96.55,0.96,1.08,0.90,0.90,203.5,0.90,0.90,202,http://nba.win007.com/1x2/oddslist/232178.htm
2015/10/31,09:00,Denver Nuggets,Minnesota Timberwolves,1.54,2.65,1.60,2.45,63.25,36.75,60.49,39.51,97.40,96.78,0.96,0.98,0.90,0.90,210,0.90,0.90,204,http://nba.win007.com/1x2/oddslist/232179.htm
2015/10/31,09:30,Houston Rockets,Golden State Warriors,2.05,1.80,1.95,1.86,46.75,53.25,48.82,51.18,95.84,95.20,0.94,0.97,0.90,0.90,214.5,0.90,0.90,216.5,http://nba.win007.com/1x2/oddslist/232180.htm
2015/10/31,10:00,Sacramento Kings,Los Angeles Lakers,1.37,3.20,1.32,3.50,70.02,29.98,72.61,27.39,95.93,95.85,0.95,0.98,0.90,0.90,209,0.90,0.90,211.5,http://nba.win007.com/1x2/oddslist/232181.htm
2015/10/31,10:30,Phoenix Suns,Portland Trail Blazers,1.54,2.65,,,63.25,36.75,,,97.40,,0.97,0.98,0.90,0.90,208,0.90,0.90,204.5,http://nba.win007.com/1x2/oddslist/232182.htm
2015/11/01,07:00,Washington Wizards,New York Knicks,1.28,3.75,,,74.55,25.45,,,95.42,,0.95,0.98,0.90,0.90,204,0.90,0.90,204.5,http://nba.win007.com/1x2/oddslist/218743.htm
