gmDate,gmTime,homeAbbr,awayAbbr,home1x2FirstOptionRate,away1x2FirstOptionRate,home1x2LastOptionRate,away1x2LastOptionRate,home1x2FirstWinRate,away1x2FirstWinRate,home1x2LastWinRate,away1x2LastWinRate,home1x2FirstRTP,away1x2LastRTP,home1x2KellyIndex,away1x2KellyIndex,OverFirstOptionRate,UnderFirstOptionRate,OverUnderFirstSpecialBetValue,OverLastOptionRate,UnderLastOptionRate,OverUnderLastSpecialBetValue,SourceUrl
2014/10/29,08:00,San Antonio Spurs,Dallas Mavericks,1.50,2.70,1.62,2.40,64.29,35.71,59.70,40.30,96.44,96.71,0.99,0.94,0.90,0.90,206.5,0.90,0.90,203,http://nba.win007.com/1x2/oddslist/188584.htm
2014/10/29,08:00,New Orleans Pelicans,Orlando Magic,1.16,5.50,1.20,4.75,82.58,17.42,79.83,20.17,95.79,95.80,0.97,0.90,0.90,0.90,197,0.90,0.90,191.5,http://nba.win007.com/1x2/oddslist/188585.htm
2014/10/29,10:30,Los Angeles Lakers,Houston Rockets,3.20,1.37,3.35,1.34,29.98,70.02,28.57,71.43,95.94,95.71,0.97,0.95,0.90,0.90,213,0.90,0.90,207,http://nba.win007.com/1x2/oddslist/188586.htm
2014/10/30,07:00,Charlotte Hornets,Milwaukee Bucks,1.23,4.25,1.25,4.10,77.55,22.45,76.64,23.36,95.39,95.80,0.95,0.98,0.90,0.90,193,0.90,0.90,193.5,http://nba.win007.com/1x2/oddslist/188587.htm
2014/10/30,07:00,Indiana Pacers,Philadelphia 76ers,1.33,3.40,1.29,3.70,71.88,28.12,74.15,25.85,95.60,95.65,0.94,1.00,0.90,0.90,190.5,0.90,0.90,189.5,http://nba.win007.com/1x2/oddslist/188588.htm
2014/10/30,07:30,Toronto Raptors,Atlanta Hawks,1.52,2.67,1.54,2.65,63.72,36.28,63.25,36.75,96.85,97.40,0.97,0.98,0.90,0.90,200.5,0.90,0.90,199,http://nba.win007.com/1x2/oddslist/188589.htm
2014/10/30,07:30,Miami Heat,Washington Wizards,1.55,2.60,1.47,2.75,62.65,37.35,65.17,34.83,97.11,95.80,0.93,1.02,0.90,0.90,191,0.90,0.90,188,http://nba.win007.com/1x2/oddslist/188590.htm
2014/10/30,07:30,Boston Celtics,Brooklyn Nets,2.10,1.76,1.86,1.95,45.60,54.40,51.18,48.82,95.76,95.19,0.95,0.96,0.90,0.90,191,0.90,0.90,194,http://nba.win007.com/1x2/oddslist/188591.htm
2014/10/30,08:00,New York Knicks,Chicago Bulls,2.55,1.57,2.67,1.52,38.11,61.89,36.28,63.72,97.18,96.87,0.99,0.96,0.90,0.90,187.5,0.90,0.90,184,http://nba.win007.com/1x2/oddslist/188592.htm
2014/10/30,08:00,Memphis Grizzlies,Minnesota Timberwolves,1.27,3.80,1.29,3.70,74.95,25.05,74.15,25.85,95.19,95.65,0.95,0.96,0.90,0.90,196,0.90,0.90,197.5,http://nba.win007.com/1x2/oddslist/188593.htm
2014/10/30,09:00,Utah Jazz,Houston Rockets,2.40,1.62,2.35,1.64,40.30,59.70,41.10,58.90,96.72,96.58,0.99,0.95,0.90,0.90,201.5,0.90,0.90,201.5,http://nba.win007.com/1x2/oddslist/188594.htm
2014/10/30,09:00,Denver Nuggets,Detroit Pistons,1.37,3.20,,,70.02,29.98,,,95.93,,0.96,0.96,0.90,0.90,207.5,0.90,0.90,205.5,http://nba.win007.com/1x2/oddslist/188595.htm
2014/10/30,10:00,Phoenix Suns,Los Angeles Lakers,1.08,8.50,1.09,8.00,88.73,11.27,88.01,11.99,95.83,95.93,0.95,1.04,0.90,0.90,208,0.90,0.90,208.5,http://nba.win007.com/1x2/oddslist/188597.htm
2014/10/30,10:00,Sacramento Kings,Golden State Warriors,2.40,1.62,2.67,1.52,40.30,59.70,36.28,63.72,96.72,96.87,0.99,0.96,0.90,0.90,205.5,0.90,0.90,206,http://nba.win007.com/1x2/oddslist/188598.htm
2014/10/30,10:30,Portland Trail Blazers,Oklahoma City Thunder,1.22,4.50,,,78.67,21.33,,,95.98,,0.95,0.99,0.90,0.90,201.5,0.90,0.90,198,http://nba.win007.com/1x2/oddslist/188596.htm
2014/10/31,07:00,Orlando Magic,Washington Wizards,2.60,1.55,2.70,1.50,37.35,62.65,35.71,64.29,97.11,96.42,1.00,0.95,0.90,0.90,190,0.90,0.90,188,http://nba.win007.com/1x2/oddslist/188599.htm
2014/10/31,08:00,Minnesota Timberwolves,Detroit Pistons,1.52,2.67,1.47,2.75,63.72,36.28,65.17,34.83,96.85,95.80,0.97,0.94,0.90,0.90,204.5,0.90,0.90,204.5,http://nba.win007.com/1x2/oddslist/188600.htm
2014/10/31,08:00,Cleveland Cavaliers,New York Knicks,1.09,8.00,1.07,9.00,88.01,11.99,89.37,10.63,95.93,95.63,0.95,0.99,0.90,0.90,198.5,0.90,0.90,204,http://nba.win007.com/1x2/oddslist/188601.htm
2014/10/31,08:30,Dallas Mavericks,Utah Jazz,1.14,6.00,,,84.03,15.97,,,95.79,,0.95,1.02,0.90,0.90,202.5,0.90,0.90,203,http://nba.win007.com/1x2/oddslist/188602.htm
2014/10/31,10:30,Los Angeles Clippers,Oklahoma City Thunder,1.09,8.00,1.07,9.00,88.01,11.99,89.37,10.63,95.93,95.63,0.94,1.08,0.90,0.90,202,0.90,0.90,205,http://nba.win007.com/1x2/oddslist/188603.htm
2014/11/01,07:00,Indiana Pacers,Memphis Grizzlies,3.50,1.32,3.15,1.38,27.39,72.61,30.46,69.54,95.86,95.95,0.98,0.95,0.90,0.90,185,0.90,0.90,185.5,http://nba.win007.com/1x2/oddslist/188604.htm
2014/11/01,08:00,Chicago Bulls,Cleveland Cavaliers,1.54,2.65,1.58,2.50,63.25,36.75,61.27,38.73,97.40,96.81,0.96,0.98,0.90,0.90,193,0.90,0.90,193,http://nba.win007.com/1x2/oddslist/188605.htm
2014/11/01,08:30,Milwaukee Bucks,Philadelphia 76ers,1.20,4.75,1.22,4.50,79.83,20.17,78.67,21.33,95.80,95.98,0.95,0.99,0.90,0.90,201,0.90,0.90,204,http://nba.win007.com/1x2/oddslist/188606.htm
2014/11/01,10:00,Phoenix Suns,San Antonio Spurs,2.05,1.80,1.90,1.90,46.75,53.25,50.00,50.00,95.84,95.00,0.93,0.97,0.90,0.90,206,0.90,0.90,208,http://nba.win007.com/1x2/oddslist/188607.htm
2014/11/01,10:00,Sacramento Kings,Portland Trail Blazers,2.95,1.42,2.70,1.50,32.49,67.51,35.71,64.29,95.85,96.42,0.97,0.96,0.90,0.90,202,0.90,0.90,198.5,http://nba.win007.com/1x2/oddslist/188608.htm
2014/11/01,10:30,Los Angeles Lakers,Los Angeles Clippers,6.75,1.11,,,14.12,85.88,,,95.31,,0.95,0.95,0.90,0.90,208.5,0.90,0.90,210,http://nba.win007.com/1x2/oddslist/188609.htm
2014/11/02,07:00,Philadelphia 76ers,Miami Heat,4.50,1.22,4.75,1.20,21.33,78.67,20.17,79.83,95.98,95.81,1.00,0.95,0.90,0.90,198,0.90,0.90,196,http://nba.win007.com/1x2/oddslist/188610.htm
2014/11/02,07:00,Charlotte Hornets,Memphis Grizzlies,1.66,2.30,,,58.08,41.92,,,96.41,,0.96,0.97,0.90,0.90,188.5,0.90,0.90,186,http://nba.win007.com/1x2/oddslist/188611.htm
