gmDate,gmTime,homeAbbr,awayAbbr,home1x2FirstOptionRate,away1x2FirstOptionRate,home1x2LastOptionRate,away1x2LastOptionRate,home1x2FirstWinRate,away1x2FirstWinRate,home1x2LastWinRate,away1x2LastWinRate,home1x2FirstRTP,away1x2LastRTP,home1x2KellyIndex,away1x2KellyIndex,OverFirstOptionRate,UnderFirstOptionRate,OverUnderFirstSpecialBetValue,OverLastOptionRate,UnderLastOptionRate,OverUnderLastSpecialBetValue,SourceUrl
2016/10/26,07:30,Cleveland Cavaliers,New York Knicks,1.18,5.25,,,81.65,18.35,,,96.35,,0.94,1.05,0.90,0.90,205,0.90,0.83,203.5,http://nba.win007.com/1x2/oddslist/256833.htm
2016/10/26,10:00,Portland Trail Blazers,Utah Jazz,1.38,3.15,1.41,3.00,69.54,30.46,68.03,31.97,95.97,95.92,0.96,0.96,0.90,0.90,193.5,0.86,0.86,218.5,http://nba.win007.com/1x2/oddslist/256834.htm
2016/10/26,10:30,Golden State Warriors,San Antonio Spurs,1.23,4.25,,,77.55,22.45,,,95.39,,0.95,0.98,0.90,0.90,213,0.86,0.86,236.5,http://nba.win007.com/1x2/oddslist/256835.htm
2016/10/27,07:00,Orlando Magic,Miami Heat,1.55,2.60,1.64,2.35,62.65,37.35,58.90,41.10,97.11,96.60,0.97,0.96,0.90,0.90,201,0.95,0.80,201.5,http://nba.win007.com/1x2/oddslist/256836.htm
2016/10/27,07:00,Indiana Pacers,Dallas Mavericks,1.37,3.20,1.42,2.95,70.02,29.98,67.51,32.49,95.93,95.86,0.97,0.94,0.90,0.90,206.5,0.86,0.86,251.5,http://nba.win007.com/1x2/oddslist/256837.htm
2016/10/27,07:30,Toronto Raptors,Detroit Pistons,1.29,3.70,1.35,3.30,74.15,25.85,70.97,29.03,95.65,95.81,0.96,0.96,0.90,0.90,195,0.95,0.80,204.5,http://nba.win007.com/1x2/oddslist/256838.htm
2016/10/27,07:30,Boston Celtics,Brooklyn Nets,1.06,10.50,1.09,7.50,90.83,9.17,87.31,12.69,96.28,95.17,0.95,0.98,0.90,0.90,211.5,0.86,0.86,236.5,http://nba.win007.com/1x2/oddslist/256839.htm
2016/10/27,08:00,Milwaukee Bucks,Charlotte Hornets,1.90,1.90,2.00,1.83,50.00,50.00,47.78,52.22,95.00,95.56,0.94,0.97,0.90,0.90,192.5,0.83,0.90,203.5,http://nba.win007.com/1x2/oddslist/256840.htm
2016/10/27,08:00,New Orleans Pelicans,Denver Nuggets,1.60,2.45,1.76,2.00,60.49,39.51,53.19,46.81,96.78,93.61,0.95,0.92,0.90,0.90,207,0.90,0.83,213.5,http://nba.win007.com/1x2/oddslist/256841.htm
2016/10/27,08:00,Philadelphia 76ers,Oklahoma City Thunder,4.50,1.22,4.75,1.20,21.33,78.67,20.17,79.83,95.99,95.81,1.00,0.95,0.90,0.90,208,0.83,0.90,195.5,http://nba.win007.com/1x2/oddslist/256842.htm
