gmDate,gmTime,homeAbbr,awayAbbr,home1x2FirstOptionRate,away1x2FirstOptionRate,home1x2LastOptionRate,away1x2LastOptionRate,home1x2FirstWinRate,away1x2FirstWinRate,home1x2LastWinRate,away1x2LastWinRate,home1x2FirstRTP,away1x2LastRTP,home1x2KellyIndex,away1x2KellyIndex,OverFirstOptionRate,UnderFirstOptionRate,OverUnderFirstSpecialBetValue,OverLastOptionRate,UnderLastOptionRate,OverUnderLastSpecialBetValue,SourceUrl
2020/12/23,08:00,Brooklyn Nets,Golden State Warriors,1.45,2.80,1.29,3.70,65.88,34.12,74.15,25.85,95.53,95.65,0.94,1.00,0.90,0.90,228,0.86,0.86,220.5,http://nba.win007.com/1x2/oddslist/403908.htm
2020/12/23,11:00,Los Angeles Lakers,Los Angeles Clippers,1.71,2.20,1.74,2.15,56.27,43.73,55.27,44.73,96.22,96.17,0.96,0.97,0.90,0.90,223,0.80,0.95,222.5,http://nba.win007.com/1x2/oddslist/403909.htm
2020/12/24,08:00,Cleveland Cavaliers,Charlotte Hornets,2.05,1.80,2.30,1.66,46.75,53.25,41.92,58.08,95.84,96.42,0.97,0.96,0.90,0.90,215,0.83,0.90,232.5,http://nba.win007.com/1x2/oddslist/404010.htm
2020/12/24,08:00,Indiana Pacers,New York Knicks,1.29,3.70,1.31,3.60,74.15,25.85,73.32,26.68,95.65,96.05,0.97,0.94,0.90,0.90,213.5,0.76,1.00,227.5,http://nba.win007.com/1x2/oddslist/404011.htm
2020/12/24,08:00,Philadelphia 76ers,Washington Wizards,1.28,3.75,1.32,3.50,74.55,25.45,72.61,27.39,95.42,95.85,0.95,0.98,0.90,0.90,229,0.86,0.86,213.5,http://nba.win007.com/1x2/oddslist/404012.htm
2020/12/24,08:00,Orlando Magic,Miami Heat,2.45,1.60,2.75,1.47,39.51,60.49,34.83,65.17,96.80,95.78,0.99,0.94,0.90,0.90,219.5,1.00,0.76,211.5,http://nba.win007.com/1x2/oddslist/404013.htm
2020/12/24,08:30,Boston Celtics,Milwaukee Bucks,2.45,1.60,2.65,1.54,39.51,60.49,36.75,63.25,96.80,97.39,1.01,0.95,0.90,0.90,225.5,0.90,0.83,245.5,http://nba.win007.com/1x2/oddslist/403910.htm
2020/12/24,08:30,Toronto Raptors,New Orleans Pelicans,1.52,2.67,1.58,2.50,63.72,36.28,61.27,38.73,96.85,96.81,0.95,1.00,0.90,0.90,229.5,0.90,0.83,219.5,http://nba.win007.com/1x2/oddslist/404014.htm
2020/12/24,09:00,Chicago Bulls,Atlanta Hawks,2.10,1.76,2.05,1.80,45.60,54.40,46.75,53.25,95.76,95.84,0.96,0.95,0.90,0.90,230,0.90,0.83,234.5,http://nba.win007.com/1x2/oddslist/404015.htm
2020/12/24,09:00,Minnesota Timberwolves,Detroit Pistons,1.52,2.67,1.45,2.80,63.72,36.28,65.88,34.12,96.85,95.53,0.94,0.98,0.90,0.90,225.5,1.00,0.76,213.5,http://nba.win007.com/1x2/oddslist/404016.htm
2020/12/24,09:00,Memphis Grizzlies,San Antonio Spurs,1.76,2.10,,,54.40,45.60,,,95.74,,0.95,0.97,0.90,0.90,231.5,1.00,0.76,249.5,http://nba.win007.com/1x2/oddslist/404017.htm
2020/12/24,10:00,Denver Nuggets,Sacramento Kings,1.26,4.00,1.31,3.60,76.05,23.95,73.32,26.68,95.82,96.05,0.96,0.97,0.90,0.90,224.5,0.86,0.86,232.5,http://nba.win007.com/1x2/oddslist/404019.htm
