gmDate,gmTime,homeAbbr,awayAbbr,home1x2FirstOptionRate,away1x2FirstOptionRate,home1x2LastOptionRate,away1x2LastOptionRate,home1x2FirstWinRate,away1x2FirstWinRate,home1x2LastWinRate,away1x2LastWinRate,home1x2FirstRTP,away1x2LastRTP,home1x2KellyIndex,away1x2KellyIndex,OverFirstOptionRate,UnderFirstOptionRate,OverUnderFirstSpecialBetValue,OverLastOptionRate,UnderLastOptionRate,OverUnderLastSpecialBetValue,SourceUrl
2019/10/23,08:00,Toronto Raptors,New Orleans Pelicans,1.35,3.30,1.33,3.40,70.97,29.03,71.88,28.12,95.81,95.60,0.94,0.99,0.90,0.90,231.5,0.76,1.00,234.5,http://nba.win007.com/1x2/oddslist/362243.htm
2019/10/23,10:30,Los Angeles Clippers,Los Angeles Lakers,2.00,1.83,2.50,1.58,47.78,52.22,38.73,61.27,95.56,96.82,1.03,0.93,0.90,0.90,227,1.00,0.76,225.5,http://nba.win007.com/1x2/oddslist/362244.htm
2019/10/24,07:00,Orlando Magic,Cleveland Cavaliers,1.25,4.10,1.20,4.75,76.64,23.36,79.83,20.17,95.80,95.80,0.96,0.95,0.90,0.90,212.5,0.74,1.05,176.5,http://nba.win007.com/1x2/oddslist/362245.htm
2019/10/24,07:00,Indiana Pacers,Detroit Pistons,1.38,3.15,1.33,3.40,69.54,30.46,71.88,28.12,95.97,95.60,0.96,0.95,0.90,0.90,210.5,0.83,0.90,225.5,http://nba.win007.com/1x2/oddslist/362246.htm
2019/10/24,07:00,Charlotte Hornets,Chicago Bulls,2.20,1.71,2.40,1.62,43.73,56.27,40.30,59.70,96.21,96.72,0.98,0.96,0.90,0.90,218.5,1.00,0.76,251.5,http://nba.win007.com/1x2/oddslist/362247.htm
2019/10/24,07:30,Brooklyn Nets,Minnesota Timberwolves,1.54,2.65,1.64,2.35,63.25,36.75,58.90,41.10,97.40,96.60,0.97,0.96,0.90,0.90,225.5,0.86,0.86,229.5,http://nba.win007.com/1x2/oddslist/362248.htm
2019/10/24,07:30,Miami Heat,Memphis Grizzlies,1.29,3.70,1.34,3.35,74.15,25.85,71.43,28.57,95.65,95.72,0.95,0.97,0.90,0.90,212,0.80,0.95,216.5,http://nba.win007.com/1x2/oddslist/362249.htm
2019/10/24,07:30,Philadelphia 76ers,Boston Celtics,1.45,2.80,1.41,3.00,65.88,34.12,68.03,31.97,95.53,95.92,0.96,0.96,0.90,0.90,216,0.86,0.86,200.5,http://nba.win007.com/1x2/oddslist/362250.htm
2019/10/24,08:30,San Antonio Spurs,New York Knicks,1.16,5.50,,,82.58,17.42,,,95.79,,0.96,0.94,0.90,0.90,214.5,1.00,0.76,227.5,http://nba.win007.com/1x2/oddslist/362251.htm
2019/10/24,08:30,Dallas Mavericks,Washington Wizards,1.23,4.25,,,77.55,22.45,,,95.39,,0.96,0.94,0.90,0.90,223,1.00,0.76,215.5,http://nba.win007.com/1x2/oddslist/362252.htm
2019/10/24,09:00,Utah Jazz,Oklahoma City Thunder,1.20,4.75,1.23,4.25,79.83,20.17,77.55,22.45,95.80,95.39,0.96,0.94,0.90,0.90,222,0.86,0.86,191.5,http://nba.win007.com/1x2/oddslist/362253.htm
2019/10/24,10:00,Phoenix Suns,Sacramento Kings,2.00,1.83,1.83,2.00,47.78,52.22,52.22,47.78,95.56,95.56,0.93,0.98,0.90,0.90,232.5,0.83,0.90,204.5,http://nba.win007.com/1x2/oddslist/362254.htm
2019/10/24,10:00,Portland Trail Blazers,Denver Nuggets,1.86,1.95,2.05,1.80,51.18,48.82,46.75,53.25,95.19,95.84,0.98,0.94,0.90,0.90,219,0.95,0.80,204.5,http://nba.win007.com/1x2/oddslist/362255.htm
2019/10/25,07:00,Detroit Pistons,Atlanta Hawks,1.90,1.90,1.83,2.00,50.00,50.00,52.22,47.78,95.00,95.56,0.95,0.96,0.90,0.90,222,0.76,1.00,214.5,http://nba.win007.com/1x2/oddslist/362256.htm
2019/10/25,08:00,Houston Rockets,Milwaukee Bucks,1.76,2.10,1.83,2.00,54.40,45.60,52.22,47.78,95.74,95.56,0.95,0.96,0.90,0.90,231.5,0.90,0.83,223.5,http://nba.win007.com/1x2/oddslist/362257.htm
2019/10/25,10:30,Golden State Warriors,Los Angeles Clippers,2.00,1.83,2.05,1.80,47.78,52.22,46.75,53.25,95.56,95.84,1.00,0.92,0.90,0.90,225,0.90,0.83,263.5,http://nba.win007.com/1x2/oddslist/362258.htm
2019/10/26,07:00,Charlotte Hornets,Minnesota Timberwolves,2.90,1.43,2.75,1.47,33.03,66.97,34.83,65.17,95.79,95.78,0.96,0.96,0.90,0.90,229,0.90,0.83,228.5,http://nba.win007.com/1x2/oddslist/362259.htm
2019/10/26,07:00,Boston Celtics,Toronto Raptors,1.68,2.25,1.74,2.15,57.25,42.75,55.27,44.73,96.18,96.17,0.97,0.95,0.90,0.90,216.5,0.86,0.86,229.5,http://nba.win007.com/1x2/oddslist/362260.htm
2019/10/26,07:30,Brooklyn Nets,New York Knicks,1.20,4.75,1.29,3.70,79.83,20.17,74.15,25.85,95.80,95.65,0.97,0.93,0.90,0.90,225.5,0.80,0.95,232.5,http://nba.win007.com/1x2/oddslist/362261.htm
2019/10/26,08:00,Oklahoma City Thunder,Washington Wizards,1.25,4.20,,,77.06,22.94,,,96.32,,0.95,1.01,0.90,0.90,218.5,0.80,0.95,188.5,http://nba.win007.com/1x2/oddslist/362262.htm
2019/10/26,08:00,Memphis Grizzlies,Chicago Bulls,1.83,2.00,2.05,1.80,52.22,47.78,46.75,53.25,95.56,95.84,0.94,0.97,0.90,0.90,223.5,0.86,0.86,212.5,http://nba.win007.com/1x2/oddslist/362263.htm
2019/10/26,08:00,New Orleans Pelicans,Dallas Mavericks,1.74,2.15,1.76,2.10,55.27,44.73,54.40,45.60,96.17,95.74,0.97,0.94,0.90,0.90,228.5,0.86,0.86,241.5,http://nba.win007.com/1x2/oddslist/362264.htm
2019/10/26,09:00,Denver Nuggets,Phoenix Suns,1.12,6.50,1.11,7.00,85.30,14.70,86.31,13.69,95.54,95.80,0.95,0.98,0.90,0.90,221,0.95,0.80,181.5,http://nba.win007.com/1x2/oddslist/362265.htm
2019/10/26,10:00,Sacramento Kings,Portland Trail Blazers,2.05,1.80,2.00,1.83,46.75,53.25,47.78,52.22,95.84,95.56,0.96,0.95,0.90,0.90,226.5,0.86,0.86,240.5,http://nba.win007.com/1x2/oddslist/362266.htm
2019/10/26,10:30,Los Angeles Lakers,Utah Jazz,1.66,2.30,1.62,2.40,58.08,41.92,59.70,40.30,96.41,96.71,0.96,0.98,0.90,0.90,218.5,0.95,0.80,183.5,http://nba.win007.com/1x2/oddslist/362267.htm
2019/10/27,05:00,Milwaukee Bucks,Miami Heat,1.18,5.25,1.12,6.50,81.65,18.35,85.30,14.70,96.35,95.54,0.94,1.04,0.90,0.90,226.5,0.80,0.95,244.5,http://nba.win007.com/1x2/oddslist/362268.htm
2019/10/27,07:00,Detroit Pistons,Philadelphia 76ers,2.90,1.43,2.60,1.55,33.03,66.97,37.35,62.65,95.79,97.11,1.04,0.93,0.90,0.90,220.5,0.95,0.80,226.5,http://nba.win007.com/1x2/oddslist/362269.htm
2019/10/27,07:30,New York Knicks,Boston Celtics,2.80,1.45,,,34.12,65.88,,,95.54,,0.98,0.94,0.90,0.90,215,0.90,0.83,214.5,http://nba.win007.com/1x2/oddslist/362270.htm
2019/10/27,07:30,Atlanta Hawks,Orlando Magic,2.10,1.76,2.15,1.74,45.60,54.40,44.73,55.27,95.76,96.17,0.97,0.96,0.90,0.90,219,0.83,0.90,208.5,http://nba.win007.com/1x2/oddslist/362271.htm
2019/10/27,08:00,Cleveland Cavaliers,Indiana Pacers,2.67,1.52,2.75,1.47,36.28,63.72,34.83,65.17,96.87,95.78,0.99,0.94,0.90,0.90,213.5,0.80,0.95,210.5,http://nba.win007.com/1x2/oddslist/362272.htm
2019/10/27,08:00,Chicago Bulls,Toronto Raptors,2.30,1.66,,,41.92,58.08,,,96.42,,0.99,0.95,0.90,0.90,223,0.83,0.90,196.5,http://nba.win007.com/1x2/oddslist/362273.htm
2019/10/27,08:00,Houston Rockets,New Orleans Pelicans,1.14,6.00,1.10,7.25,84.03,15.97,86.83,13.17,95.79,95.51,0.94,1.09,0.90,0.90,236,0.83,0.90,254.5,http://nba.win007.com/1x2/oddslist/362274.htm
2019/10/27,08:30,San Antonio Spurs,Washington Wizards,1.10,7.25,1.11,7.00,86.83,13.17,86.31,13.69,95.51,95.80,0.95,0.98,0.90,0.90,218,1.00,0.76,251.5,http://nba.win007.com/1x2/oddslist/362275.htm
2019/10/27,09:00,Utah Jazz,Sacramento Kings,1.22,4.50,1.20,4.75,78.67,21.33,79.83,20.17,95.98,95.80,0.95,1.00,0.90,0.90,223.5,0.86,0.86,193.5,http://nba.win007.com/1x2/oddslist/362276.htm
2019/10/27,10:00,Phoenix Suns,Los Angeles Clippers,4.25,1.23,5.50,1.16,22.45,77.55,17.42,82.58,95.41,95.81,1.05,0.94,0.90,0.90,229.5,0.83,0.90,241.5,http://nba.win007.com/1x2/oddslist/362277.htm
2019/10/28,03:30,Oklahoma City Thunder,Golden State Warriors,1.95,1.86,1.90,1.90,48.82,51.18,50.00,50.00,95.20,95.00,0.91,0.99,0.90,0.90,223,0.86,0.86,213.5,http://nba.win007.com/1x2/oddslist/362278.htm
2019/10/28,06:00,Memphis Grizzlies,Brooklyn Nets,2.55,1.57,2.60,1.55,38.11,61.89,37.35,62.65,97.18,97.11,0.99,0.96,0.90,0.90,224,0.90,0.83,245.5,http://nba.win007.com/1x2/oddslist/362279.htm
2019/10/28,07:00,Dallas Mavericks,Portland Trail Blazers,1.83,2.00,1.66,2.30,52.22,47.78,58.08,41.92,95.56,96.41,0.95,0.99,0.90,0.90,222,0.95,0.80,249.5,http://nba.win007.com/1x2/oddslist/362280.htm
2019/10/28,07:00,Minnesota Timberwolves,Miami Heat,1.40,3.10,1.36,3.25,68.89,31.11,70.50,29.50,96.45,95.88,0.97,0.94,0.90,0.90,223.5,0.80,0.95,218.5,http://nba.win007.com/1x2/oddslist/362281.htm
2019/10/28,09:30,Los Angeles Lakers,Charlotte Hornets,1.08,8.50,1.07,9.00,88.73,11.27,89.37,10.63,95.83,95.63,0.95,0.99,0.90,0.90,215,0.86,0.86,218.5,http://nba.win007.com/1x2/oddslist/362282.htm
2019/10/29,07:00,New York Knicks,Chicago Bulls,1.95,1.86,2.10,1.76,48.82,51.18,45.60,54.40,95.20,95.76,0.97,0.95,0.90,0.90,223.5,0.86,0.86,208.5,http://nba.win007.com/1x2/oddslist/362283.htm
2019/10/29,07:00,Detroit Pistons,Indiana Pacers,1.95,1.86,2.15,1.74,48.82,51.18,44.73,55.27,95.20,96.17,1.01,0.92,0.90,0.90,213.5,0.90,0.83,194.5,http://nba.win007.com/1x2/oddslist/362284.htm
2019/10/29,07:30,Toronto Raptors,Orlando Magic,1.52,2.67,1.50,2.70,63.72,36.28,64.29,35.71,96.85,96.43,0.96,0.97,0.90,0.90,212.5,0.86,0.86,197.5,http://nba.win007.com/1x2/oddslist/362285.htm
2019/10/29,07:30,Atlanta Hawks,Philadelphia 76ers,2.45,1.60,3.40,1.33,39.51,60.49,28.12,71.88,96.80,95.61,1.02,0.93,0.90,0.90,227.5,0.80,0.95,213.5,http://nba.win007.com/1x2/oddslist/362286.htm
2019/10/29,08:00,Milwaukee Bucks,Cleveland Cavaliers,1.05,12.00,1.04,13.00,91.95,8.05,92.59,7.41,96.55,96.29,0.96,1.04,0.90,0.90,222,1.00,0.76,239.5,http://nba.win007.com/1x2/oddslist/362287.htm
2019/10/29,08:00,Houston Rockets,Oklahoma City Thunder,1.14,6.00,1.18,5.25,84.03,15.97,81.65,18.35,95.79,96.35,0.96,1.00,0.90,0.90,225.5,0.86,0.86,222.5,http://nba.win007.com/1x2/oddslist/362288.htm
2019/10/29,08:00,New Orleans Pelicans,Golden State Warriors,1.80,2.05,1.74,2.15,53.25,46.75,55.27,44.73,95.85,96.17,0.96,0.97,0.90,0.90,235.5,0.86,0.86,252.5,http://nba.win007.com/1x2/oddslist/362289.htm
2019/10/29,08:30,San Antonio Spurs,Portland Trail Blazers,1.54,2.65,1.40,3.10,63.25,36.75,68.89,31.11,97.40,96.45,0.95,0.99,0.90,0.90,220,0.83,0.90,218.5,http://nba.win007.com/1x2/oddslist/362290.htm
2019/10/29,10:00,Phoenix Suns,Utah Jazz,2.75,1.47,2.70,1.50,34.83,65.17,35.71,64.29,95.78,96.42,0.97,0.96,0.90,0.90,217.5,0.86,0.86,194.5,http://nba.win007.com/1x2/oddslist/362291.htm
2019/10/29,10:00,Sacramento Kings,Denver Nuggets,2.90,1.43,2.75,1.47,33.03,66.97,34.83,65.17,95.79,95.78,0.96,0.96,0.90,0.90,218,1.00,0.76,191.5,http://nba.win007.com/1x2/oddslist/362292.htm
2019/10/29,10:30,Los Angeles Clippers,Charlotte Hornets,1.04,13.50,,,92.85,7.15,,,96.56,,0.96,1.08,0.90,0.90,225.5,0.83,0.90,211.5,http://nba.win007.com/1x2/oddslist/362293.htm
2019/10/30,07:30,Miami Heat,Atlanta Hawks,1.28,3.75,1.25,4.10,74.55,25.45,76.64,23.36,95.42,95.80,0.95,0.98,0.90,0.90,224.5,0.95,0.80,216.5,http://nba.win007.com/1x2/oddslist/362294.htm
2019/10/30,09:00,Denver Nuggets,Dallas Mavericks,1.38,3.15,1.44,2.85,69.54,30.46,66.43,33.57,95.97,95.66,0.95,0.97,0.90,0.90,216,0.76,1.00,222.5,http://nba.win007.com/1x2/oddslist/362295.htm
2019/10/30,10:30,Los Angeles Lakers,Memphis Grizzlies,1.11,7.00,1.11,6.75,86.31,13.69,85.88,14.12,95.80,95.33,0.95,0.95,0.95,0.86,220,0.76,1.00,215.5,http://nba.win007.com/1x2/oddslist/362296.htm
2019/10/31,07:00,Cleveland Cavaliers,Chicago Bulls,1.95,1.86,2.10,1.76,48.82,51.18,45.60,54.40,95.20,95.76,0.97,0.95,0.90,0.90,215,0.90,0.83,224.5,http://nba.win007.com/1x2/oddslist/362297.htm
2019/10/31,07:00,Philadelphia 76ers,Minnesota Timberwolves,1.37,3.20,1.33,3.40,70.02,29.98,71.88,28.12,95.93,95.60,0.96,0.95,0.90,0.90,225,0.95,0.80,219.5,http://nba.win007.com/1x2/oddslist/362298.htm
2019/10/31,07:00,Orlando Magic,New York Knicks,1.22,4.50,1.20,4.75,78.67,21.33,79.83,20.17,95.98,95.80,0.96,0.95,0.90,0.90,207.5,0.86,0.86,183.5,http://nba.win007.com/1x2/oddslist/362299.htm
2019/10/31,07:30,Toronto Raptors,Detroit Pistons,1.28,3.75,1.20,4.75,74.55,25.45,79.83,20.17,95.42,95.80,0.95,1.00,0.90,0.90,210.5,0.90,0.83,239.5,http://nba.win007.com/1x2/oddslist/362300.htm
2019/10/31,07:30,Brooklyn Nets,Indiana Pacers,1.60,2.45,1.66,2.30,60.49,39.51,58.08,41.92,96.78,96.41,0.96,0.97,0.90,0.90,220.5,0.90,0.83,231.5,http://nba.win007.com/1x2/oddslist/362301.htm
2019/10/31,07:30,Boston Celtics,Milwaukee Bucks,2.15,1.74,2.40,1.62,44.73,55.27,40.30,59.70,96.17,96.72,0.98,0.96,0.90,0.90,222,0.86,0.86,214.5,http://nba.win007.com/1x2/oddslist/362302.htm
2019/10/31,08:00,Oklahoma City Thunder,Portland Trail Blazers,1.95,1.86,2.05,1.80,48.82,51.18,46.75,53.25,95.20,95.84,0.96,0.95,0.90,0.90,223,0.76,1.00,201.5,http://nba.win007.com/1x2/oddslist/362303.htm
